Project ID,Project Name,Registry,ARB Project,Registry + ARB,Scope,Project Type,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,Total Credits Issued,Total Credits Retired,Total Credits Remaining,First Year of Project,Issued by Reporting 1996,Issued by Reporting 1997,Issued by Reporting 1998,Issued by Reporting 1999,Issued by Reporting 2000,Issued by Reporting 2001,Issued by Reporting 2002,Issued by Reporting 2003,Issued by Reporting 2004,Issued by Reporting 2005,Issued by Reporting 2006,Issued by Reporting 2007,Issued by Reporting 2008,Issued by Reporting 2009,Issued by Reporting 2010,Issued by Reporting 2011,Issued by Reporting 2012,Issued by Reporting 2013,Issued by Reporting 2014,Issued by Reporting 2015,Issued by Reporting 2016,Issued by Reporting 2017,Issued by Reporting 2018,Issued by Reporting 2019,Issued by Reporting 2020,Issued by Reporting Future Years,Retired 1996,Retired 1997,Retired 1998,Retired 1999,Retired 2000,Retired 2001,Retired 2002,Retired 2003,Retired 2004,Retired 2005,Retired 2006,Retired 2007,Retired 2008,Retired 2009,Retired 2010,Retired 2011,Retired 2012,Retired 2013,Retired 2014,Retired 2015,Retired 2016,Retired 2017,Retired 2018,Retired 2019,Retired 2020,Retired 2021,Retired Year Unknown,Project Owner,Offset Project Operator,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,Voluntary Status,Project Listed,Project Registered ,ARB ID,Active CCB Status,Project Sector,Registry Documents,Project Website,Issued 1996,Issued 1997,Issued 1998,Issued 1999,Issued 2000,Issued 2001,Issued 2002,Issued 2003,Issued 2004,Issued 2005,Issued 2006,Issued 2007,Issued 2008,Issued 2009,Issued 2010,Issued 2011,Issued 2012,Issued 2013,Issued 2014,Issued 2015,Issued 2016,Issued 2017,Issued 2018,Issued 2019,Issued 2020,Notes,Date project added to database,Year of first issuance
GS7150,GS5047 VPA25 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project V,GOLD,,GOLD,Household & Community,Community Boreholes,GS TPDDTEC v3.1,Sub Saharan Africa,Rwanda,,,Likano Project Development GmbH,8301,1301,7000,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,0,0,Likano Project Development GmbH,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1662,https://registry.goldstandard.org/projects/details/1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301,,44300,2019
GS7151,SAKARYA BIOGAS POWER PLANT,GOLD,,GOLD,Renewable Energy,Biomass,Other,Middle East,Turkey,,,Green Consult and Finance,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,LISTED,,,,,BIOGAS_ELECTRICITY,https://impact.sustain-cert.com/public_projects/1790,https://registry.goldstandard.org/projects/details/1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS7152,252 MW Wind Energy Project by Green Infra Wind Energy Limited,GOLD,,GOLD,Renewable Energy,Wind,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,Sembcorp Green Infra Limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,WIND,https://impact.sustain-cert.com/public_projects/1546,https://registry.goldstandard.org/projects/details/1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS7153,"GS1247 VPA 164 EcoZoom Improved Stove Programme, Uganda",GOLD,,GOLD,Household & Community,Cookstoves,GS TPDDTEC v 1.,Sub Saharan Africa,Uganda,,,Biolite Inc,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,ENERGY_EFFICIENCY_DOMESTIC,https://impact.sustain-cert.com/public_projects/1539,https://registry.goldstandard.org/projects/details/1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS7154,Chanju I Hydro Electric Project,GOLD,,GOLD,Renewable Energy,Hydropower,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,EKI Energy Services Limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,LISTED,,,,,SMALL_LOW_IMPACT_HYDRO,https://impact.sustain-cert.com/public_projects/1541,https://registry.goldstandard.org/projects/details/1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS716,Sidlaghatta Biogas Project,GOLD,,GOLD,Household & Community,Biodigesters,GS Baseline and Monitoring Methodology Biodigester v1.,South Asia,India,,,GoodPlanet,89822,64191,25631,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5193,10371,12961,12961,11040,11542,11463,8578,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,66,518,154,63348,0,0,GoodPlanet,,,,,GOLD_STANDARD_CERTIFIED_PROJECT,,,,,BIOGAS_HEAT,https://impact.sustain-cert.com/public_projects/1281,https://registry.goldstandard.org/projects/details/1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15564,0,25922,11040,11542,11463,0,14291,,44300,2010
GS7164,72 MW Wind power project in the South Sulawesi Province of Indonesia,GOLD,,GOLD,Renewable Energy,Wind,Other,South East Asia,Indonesia,,,Kosher Climate India Pvt Ltd,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,172659,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,WIND,https://impact.sustain-cert.com/public_projects/1791,https://registry.goldstandard.org/projects/details/1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS723,"Berke Regulator and Hydro Electric Power Plant, Turkey",GOLD,,GOLD,Renewable Energy,Hydropower,NULL,Middle East,Turkey,,,ENCEV Enerji,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,SMALL_LOW_IMPACT_HYDRO,https://impact.sustain-cert.com/public_projects/1282,https://registry.goldstandard.org/projects/details/1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS725,Lake Turkana 310MW Wind Power Project,GOLD,,GOLD,Renewable Energy,Wind,NULL,Sub Saharan Africa,Kenya,,,Lake Turkana Wind Power,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,WIND,https://impact.sustain-cert.com/public_projects/1283,https://registry.goldstandard.org/projects/details/1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
GS726,Kayabuku HEPP,GOLD,,GOLD,Renewable Energy,Hydropower,NULL,Middle East,Turkey,,,Elite Elektrik Uretimi  Ltd. Sti,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,GOLD_STANDARD_CERTIFIED_DESIGN,,,,,SMALL_LOW_IMPACT_HYDRO,https://impact.sustain-cert.com/public_projects/1284,https://registry.goldstandard.org/projects/details/1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44300,0
