Project ID,Project Name,Voluntary Registry,"ARB Project",Voluntary Status,Scope, Type,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits Issued","Total Credits Retired",Total Credits Remaining,First Year of Project,Issued by Reporting 1996,Issued by Reporting 1997,Issued by Reporting 1998,Issued by Reporting 1999,Issued by Reporting 2000,Issued by Reporting 2001,Issued by Reporting 2002,Issued by Reporting 2003,Issued by Reporting 2004,Issued by Reporting 2005,Issued by Reporting 2006,Issued by Reporting 2007,Issued by Reporting 2008,Issued by Reporting 2009,Issued by Reporting 2010,Issued by Reporting 2011,Issued by Reporting 2012,Issued by Reporting 2013,Issued by Reporting 2014,Issued by Reporting 2015,Issued by Reporting 2016,Issued by Reporting 2017,Issued by Reporting 2018,Issued by Reporting 2019,Issued by Reporting 2020,Issued by Reporting 2021,Retired 1996,Retired 1997,Retired 1998,Retired 1999,Retired 2000,Retired 2001,Retired 2002,Retired 2003,Retired 2004,Retired 2005,Retired 2006,Retired 2007,Retired 2008,Retired 2009,Retired 2010,Retired 2011,Retired 2012,Retired 2013,Retired 2014,Retired 2015,Retired 2016,Retired 2017,Retired 2018,Retired 2019,Retired 2020,Retired 2021,"Year Unknown",Remaining 1996,Remaining 1997,Remaining 1998,Remaining 1999,Remaining 2000,Remaining 2001,Remaining 2002,Remaining 2003,Remaining 2004,Remaining 2005,Remaining 2006,Remaining 2007,Remaining 2008,Remaining 2009,Remaining 2010,Remaining 2011,Remaining 2012,Remaining 2013,Remaining 2014,Remaining 2015,Remaining 2016,Remaining 2017,Remaining 2018,Remaining 2019,Remaining 2020,Remaining 2021,Project Owner ,Offset Project Operator ,Authorized Project Designee,Verifier,Estimated Annual Emission Reductions,PERs,Registry / ARB,ARB Project Detail,ARB ID,Project Listed,Project Registered ,CCB / Certifications,Project Type,"Registry Documents",Project Website,Issued 1996,Issued 1997,Issued 1998,Issued 1999,Issued 2000,Issued 2001,Issued 2002,Issued 2003,Issued 2004,Issued 2005,Issued 2006,Issued 2007,Issued 2008,Issued 2009,Issued 2010,Issued 2011,Issued 2012,Issued 2013,Issued 2014,Issued 2015,Issued 2016,Issued 2017,Issued 2018,Issued 2019,Issued 2020,Issued 2021,Notes from Registry,Notes from Berkeley Carbon Trading Project,Date added to database,"first issuance yr (no hard code, hide w formulas)"
GS772,Pitak Palm Wastewater Treatment and Biogas Utilization Project (300335)_pre-CDM VER,GOLD,No,LISTED,Waste Management,Methane Recovery in Wastewater,NULL,South East Asia,Thailand,,,South Pole Carbon Asset Management Ltd.,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,18500,0,GOLD,,,,,,BIOGAS_ELECTRICITY,https://platform.sustain-cert.com/public-project/1285,https://registry.goldstandard.org/projects/details/1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7720,"Hybrid (Solar+Wind) Power project by SBE Renewables, Rajasthan",GOLD,No,LISTED,Renewable Energy,RE Bundled,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,SB Energy Private limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,780946,0,GOLD,,,,,,OTHER,https://platform.sustain-cert.com/public-project/1975,https://registry.goldstandard.org/projects/details/2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7721,300 MW Solar PV Plant by SBSR Power Cleantech in Rajasthan,GOLD,No,LISTED,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,SB Energy Private limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,590858,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/1973,https://registry.goldstandard.org/projects/details/2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7722,250 MW Solar Power project at Kadapa by SB Energy,GOLD,No,LISTED,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,SB Energy Private limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,492382,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/1977,https://registry.goldstandard.org/projects/details/2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7723,Wind Power Project by SBESS Wind in Madhya Pradesh,GOLD,No,LISTED,Renewable Energy,Wind,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,SB Energy Private limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,826791,0,GOLD,,,,,,WIND,https://platform.sustain-cert.com/public-project/1974,https://registry.goldstandard.org/projects/details/2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7724,180 MW Renewable Energy Project by Greenko Group,GOLD,No,GOLD_STANDARD_CERTIFIED_DESIGN,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,Infinite Environmental Solutions LLP,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,327729,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/2010,https://registry.goldstandard.org/projects/details/2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7725,330 MW Solar Power project in Rajasthan by SB Energy,GOLD,No,LISTED,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,SB Energy Private limited,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,649943,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/1979,https://registry.goldstandard.org/projects/details/2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7726,"300 MW Solar PV Plant at Bhadla, Rajasthan",GOLD,No,LISTED,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,Infinite Environmental Solutions LLP,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,492382,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/1999,https://registry.goldstandard.org/projects/details/2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS7727,"250 MW Solar PV Plant at Bhainsada, Rajasthan",GOLD,No,LISTED,Renewable Energy,Solar - Centralized,ACM0002 Grid-connected electricity generation from renewable sources,South Asia,India,,,Infinite Environmental Solutions LLP,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,410318,0,GOLD,,,,,,SOLAR_THERMAL_ELECTRICITY,https://platform.sustain-cert.com/public-project/2000,https://registry.goldstandard.org/projects/details/2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
GS773,Chantaburi Starch Wastewater Treatment and Biogas Utilization Project (300085)_pre-CDM VER,GOLD,No,GOLD_STANDARD_CERTIFIED_DESIGN,Waste Management,Methane Recovery in Wastewater,AMS-I.C. Thermal energy production with or without electricity,South East Asia,Thailand,,,South Pole Carbon Asset Management Ltd.,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60000,0,GOLD,,,,,,BIOGAS_ELECTRICITY,https://platform.sustain-cert.com/public-project/1286,https://registry.goldstandard.org/projects/details/1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,202104,0
